                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4376,                 10.608,                0.94211,                0.54806,                0.37249,                0.37273,                0.11702,                    nan,                    nan,                    nan,             0.00066593,             0.00066593,             0.00066593
                      1,                 2.3397,                 2.3821,                0.91068,                0.46527,                0.37078,                0.30271,                0.08557,                    nan,                    nan,                    nan,              0.0012886,              0.0012886,              0.0012886
                      2,                 2.3199,                 1.6865,                 0.9073,                0.54865,                 0.4175,                0.39913,                0.11964,                    nan,                    nan,                    nan,              0.0018673,              0.0018673,              0.0018673
                      3,                 2.3601,                 1.5827,                0.90399,                0.61143,                0.45527,                0.44562,                0.14368,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      4,                 2.2394,                 1.4809,                0.88285,                0.57905,                 0.4403,                0.42823,                0.13533,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      5,                 2.2195,                 1.4641,                0.88916,                0.60554,                0.45229,                0.46934,                0.15888,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                      6,                 2.2336,                 1.4398,                0.89536,                 0.6618,                0.46521,                0.49149,                0.15914,                    nan,                    nan,                    nan,                0.00167,                0.00167,                0.00167
                      7,                 2.1613,                 1.3557,                0.87676,                0.59755,                0.46492,                0.45089,                0.13674,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      8,                 2.1626,                  1.383,                0.87157,                 0.7121,                0.47207,                0.50639,                0.16857,                    nan,                    nan,                    nan,               0.001538,               0.001538,               0.001538
                      9,                  2.134,                 1.3457,                0.85753,                0.74986,                0.47977,                0.51626,                0.19125,                    nan,                    nan,                    nan,               0.001472,               0.001472,               0.001472
                     10,                 2.1611,                 1.3709,                0.86765,                0.71689,                0.49404,                0.53922,                 0.1894,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     11,                 2.1129,                 1.3322,                0.86441,                0.68313,                0.47018,                0.52161,                 0.1851,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     12,                 2.0849,                 1.3145,                0.84059,                0.70063,                0.47714,                0.50761,                0.17758,                    nan,                    nan,                    nan,               0.001274,               0.001274,               0.001274
                     13,                 2.0975,                 1.2935,                 0.8418,                0.70219,                0.51889,                 0.5379,                0.18929,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     14,                 2.0794,                 1.2978,                0.84204,                0.66949,                 0.4831,                0.52766,                0.18414,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     15,                 2.1285,                 1.3317,                0.86434,                 0.6528,                0.49205,                0.51017,                0.17634,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     16,                 2.1212,                 1.3086,                0.87151,                0.67618,                0.48572,                0.50806,                 0.1776,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     17,                 2.0355,                  1.236,                0.85132,                0.70235,                 0.5159,                0.54146,                0.19089,                    nan,                    nan,                    nan,               0.000944,               0.000944,               0.000944
                     18,                 2.0887,                 1.2841,                0.87379,                0.76032,                0.52031,                0.56772,                0.20855,                    nan,                    nan,                    nan,               0.000878,               0.000878,               0.000878
                     19,                 2.0654,                 1.2885,                0.85521,                0.65416,                0.48708,                0.49635,                0.17131,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     20,                  1.716,                 1.0709,                0.72932,                0.74539,                0.45979,                0.53579,                 0.1917,                    nan,                    nan,                    nan,               0.000746,               0.000746,               0.000746
                     21,                 1.7246,                 1.0564,                0.73939,                0.75718,                0.52883,                 0.5858,                0.21919,                    nan,                    nan,                    nan,                0.00068,                0.00068,                0.00068
                     22,                 1.7114,                 1.0164,                0.72194,                0.74668,                0.49517,                 0.5519,                0.19709,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     23,                 1.6843,                 1.0161,                 0.7177,                0.79388,                0.51193,                0.58264,                0.22043,                    nan,                    nan,                    nan,               0.000548,               0.000548,               0.000548
                     24,                 1.7329,                 1.0362,                0.72614,                0.72006,                0.49702,                0.55899,                0.20724,                    nan,                    nan,                    nan,               0.000482,               0.000482,               0.000482
                     25,                 1.7275,                 1.0326,                0.74598,                0.73847,                0.53777,                0.58165,                0.21538,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     26,                  1.723,                 1.0162,                0.73477,                 0.7262,                0.52187,                0.56909,                0.21267,                    nan,                    nan,                    nan,                0.00035,                0.00035,                0.00035
                     27,                 1.7322,                 1.0409,                0.74262,                0.75174,                0.50596,                 0.5627,                0.21151,                    nan,                    nan,                    nan,               0.000284,               0.000284,               0.000284
                     28,                  1.742,                 1.0266,                0.74256,                0.70972,                0.52684,                0.56785,                0.21196,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     29,                 1.6505,                0.95758,                0.71458,                0.75857,                0.50795,                0.57134,                0.21168,                    nan,                    nan,                    nan,               0.000152,               0.000152,               0.000152
